id,Category,Sub-Category,Material Section,material name,material variant name,GWP,units,locations,density
248,Basic Materials,Cement,Geopolymer Cement (GPC),Cement Blends,Geopolymer Cement Blend (GPC),0.118,T,United Kingdom,1440
249,Basic Materials,Cement,Geopolymer Cement (GPC),Cement Blends,Geopolymer Cement Blend (GPC),0.118,T,United States or  Canada,1440
250,Basic Materials,Cement,Portland Cement (OPC),Cement Mortar,OPC (5:1 sand cement ratio),0.35,T,Australia,2100
251,Basic Materials,Cement,Portland Cement (OPC),Cement Mortar,OPC (5:1 sand cement ratio),0.265,T,Europe,2100
252,Basic Materials,Cement,Portland Cement (OPC),Cement Mortar,OPC (5:1 sand cement ratio),0.294,T,United Kingdom,2100
253,Basic Materials,Cement,Portland Cement (OPC),Cement Mortar,OPC (5:1 sand cement ratio),0.344,T,United States or  Canada,2100
254,Basic Materials,Cement,Cement Alternatives,Cement Replacement ,Ground Granulated Blast Furnace Slag (GGBFS/ GGBS),0.088,T,United Kingdom,1440
255,Basic Materials,Cement,Cement Alternatives,Cement Replacement ,Ground Granulated Blast Furnace Slag (GGBFS/ GGBS),0.152,T,United States or  Canada,1440
256,Basic Materials,Cement,Cement Alternatives,Cement Replacement ,Ground Granulated Blast Furnace Slag (GGBFS/ GGBS),0.092,T,Australia,1440
257,Basic Materials,Cement,Cement Alternatives,Cement Replacement ,Reclaimed Fly Ash (FAR),0.013,T,United Kingdom,1440
258,Basic Materials,Cement,Cement Alternatives,Cement Replacement ,Reclaimed Fly Ash (FAR),0.005,T,Europe,1440
259,Basic Materials,Cement,Cement Alternatives,Cement Replacement ,Reclaimed Fly Ash (FAR),0.009,T,Australia,1440
260,Basic Materials,Brick & Blockwork,Blockwork,Concrete block,Autoclaved Aerated Concrete block (AAC),0.391,m3,Australia,
261,Basic Materials,Brick & Blockwork,Blockwork,Concrete block,Autoclaved Aerated Concrete block (AAC),0.18,m3,Europe,
262,Basic Materials,Brick & Blockwork,Blockwork,Concrete block,Autoclaved Aerated Concrete block (AAC),0.184,m3,United Kingdom,
263,Basic Materials,Brick & Blockwork,Blockwork,Concrete block,"Hollow, block only",0.168,m3,United Kingdom,
264,Basic Materials,Brick & Blockwork,Blockwork,Concrete block,"Hollow, block only",0.292,m3,United States or  Canada,
265,Basic Materials,Brick & Blockwork,Blockwork,Concrete block,Autoclaved Aerated Concrete block (AAC),0.326,T,Europe,640
266,Basic Materials,Brick & Blockwork,Blockwork,Concrete block,Autoclaved Aerated Concrete block (AAC),0.307,T,United Kingdom,640
267,Basic Materials,Brick & Blockwork,Blockwork,Concrete block,"Hollow, block only",0.24,T,Australia,1950
268,Basic Materials,Brick & Blockwork,Blockwork,Concrete block,Autoclaved Aerated Concrete block (AAC),0.71,T,Australia,1950
269,Basic Materials,Brick & Blockwork,Blockwork,Concrete block,"Hollow, block only",0.209,T,United States or  Canada,1950
270,Basic Materials,Brick & Blockwork,Blockwork,Concrete block,"Hollow, block only",0.114,T,Europe,1950
271,Basic Materials,Brick & Blockwork,Blockwork,Concrete block,"Hollow, block only",0.12,T,United Kingdom,1950
272,Basic Materials,Brick & Blockwork,Blockwork,Concrete block,"Hollow, block only",0.336,m3,Australia,
273,Basic Materials,Brick & Blockwork,Blockwork,Concrete block,"Hollow, block only",0.16,m3,Europe,
274,Basic Materials,Brick & Blockwork,Blockwork,Concrete blockwork core fill,15 Mpa,0.285,m3,United Kingdom,
275,Basic Materials,Brick & Blockwork,Blockwork,Concrete blockwork core fill,15 Mpa,0.321,m3,United States or  Canada,
276,Basic Materials,Brick & Blockwork,Blockwork,Concrete blockwork core fill,15 Mpa,0.396,m3,Australia,
277,Basic Materials,Brick & Blockwork,Blockwork,Concrete blockwork core fill,15 Mpa,0.249,m3,Europe,
278,Basic Materials,Metals,Steel,Fibermesh reinforcement,Steel wire fiber mesh 25-35kg /m3,0.087,m3,Australia,
279,Basic Materials,Plastic,Plastic,Fibermesh reinforcement,Polypropylene fiber mesh reinforcement 0.9kg/m3,0.0074,m3,Australia,
280,Basic Materials,Plastic,Plastic,Fibermesh reinforcement,Polypropylene fiber mesh reinforcement 0.9kg/m3,0.002,m3,Europe,
281,Basic Materials,Plastic,Plastic,Fibermesh reinforcement,Polypropylene fiber mesh reinforcement 0.9kg/m3,0.005,m3,United Kingdom,
282,Basic Materials,Plastic,Plastic,Fibermesh reinforcement,Polypropylene fiber mesh reinforcement 0.9kg/m3 100% recycled,0.002,m3,Australia,
283,Basic Materials,Plastic,Plastic,Fibermesh reinforcement,Polypropylene fiber mesh reinforcement 0.9kg/m3 100% recycled,0.0005,m3,Europe,
284,Basic Materials,Plastic,Plastic,Fibermesh reinforcement,Polypropylene fiber mesh reinforcement 0.9kg/m3 100% recycled,0.001,m3,United Kingdom,
285,Basic Materials,Metals,Steel,Fibermesh reinforcement,Steel wire fiber mesh 25-35kg /m3,0.035,m3,Europe,
286,Basic Materials,Metals,Steel,Fibermesh reinforcement,Steel wire fiber mesh 25-35kg /m3,0.07,m3,United Kingdom,
287,Basic Materials,Metals,Steel,Fibermesh reinforcement,Steel wire fiber mesh 25-35kg /m3,0.069,m3,United States or  Canada,
288,Basic Materials,Metals,Steel,Fibermesh reinforcement,Steel wire fiber mesh 25-35kg /m3 100% recycled,0.044,m3,Australia,
289,Basic Materials,Metals,Steel,Fibermesh reinforcement,Steel wire fiber mesh 25-35kg /m3 100% recycled,0.018,m3,Europe,
290,Basic Materials,Metals,Steel,Fibermesh reinforcement,Steel wire fiber mesh 25-35kg /m3 100% recycled,0.027,m3,United Kingdom,
291,Basic Materials,Metals,Steel,Fibermesh reinforcement,Steel wire fiber mesh 25-35kg /m3 100% recycled,0.035,m3,United States or  Canada,
292,Basic Materials,Glass,Glass,Flat glass low iron generic (PA),6mm,0.022,m2,United Kingdom,
293,Basic Materials,Glass,Glass,Flat glass low iron generic (PA),6mm,0.026,m2,United States or  Canada,
294,Basic Materials,Glass,Glass,Flat glass low iron generic (PA),8mm,0.04,m2,Australia,
295,Basic Materials,Glass,Glass,Flat glass low iron generic (PA),8mm,0.03,m2,Europe,
296,Basic Materials,Glass,Glass,Flat glass low iron generic (PA),8mm,0.03,m2,United Kingdom,
297,Basic Materials,Glass,Glass,Flat glass low iron generic (PA),8mm,0.033,m2,United States or  Canada,
298,Basic Materials,Glass,Glass,Flat glass low iron generic (PA),4mm,0.021,m2,Australia,
299,Basic Materials,Glass,Glass,Flat glass low iron generic (PA),4mm,0.017,m2,Europe,
300,Basic Materials,Glass,Glass,Flat glass low iron generic (PA),4mm,0.018,m2,United Kingdom,
301,Basic Materials,Glass,Glass,Flat glass low iron generic (PA),4mm,0.017,m2,United States or  Canada,
302,Basic Materials,Glass,Glass,Flat glass low iron generic (PA),6mm,0.031,m2,Australia,
303,Basic Materials,Glass,Glass,Flat glass low iron generic (PA),6mm,0.023,m2,Europe,
304,Basic Materials,Metals,Steel,Galvanised Steel,"Per tonne, 100% recycled",1.65,T,Australia,7850
305,Basic Materials,Metals,Steel,Galvanised Steel,"Per tonne, 100% recycled",1.3,T,Europe,7850
306,Basic Materials,Metals,Steel,Galvanised Steel,"Per tonne, 100% recycled",1.74,T,United Kingdom,7850
307,Basic Materials,Metals,Steel,Galvanised Steel,"Per tonne, 100% recycled",0.85,T,United States or  Canada,7850
308,Basic Materials,Metals,Steel,Galvanised Steel,"Per tonne, virgin",3.3,T,Australia,7850
309,Basic Materials,Metals,Steel,Galvanised Steel,"Per tonne, virgin",2.59,T,Europe,7850
310,Basic Materials,Metals,Steel,Galvanised Steel,"Per tonne, virgin",3.485,T,United Kingdom,7850
311,Basic Materials,Metals,Steel,Galvanised Steel,"Per tonne, virgin",1.702,T,United States or  Canada,7850
312,Basic Materials,Glass,Glass,Glass sheet,Laminated,0.003,kg,Australia,2500
313,Basic Materials,Glass,Glass,Glass sheet,Laminated,0.002,kg,Europe,2500
314,Basic Materials,Glass,Glass,Glass sheet,Laminated,0.002,kg,United Kingdom,2500
315,Basic Materials,Glass,Glass,Glass sheet,Toughened,0.002,kg,Australia,2500
316,Basic Materials,Glass,Glass,Glass sheet,Toughened,0.0017,kg,United Kingdom,2500
317,Basic Materials,Glass,Glass,Glass sheet,Toughened,0.0023,kg,United States or  Canada,2500
318,Basic Materials,Insulation,Insulation,"Glasswool Blanket or Batt, Foil-Faced R2.0 (90mm)",65% Recycled Content,0.009,m2,Australia,
319,Basic Materials,Insulation,Insulation,"Glasswool Blanket or Batt, Foil-Faced R2.0 (90mm)",65% Recycled Content,0.005,m2,Europe,
320,Basic Materials,Insulation,Insulation,"Glasswool Blanket or Batt, Foil-Faced R2.0 (90mm)",Virgin,0.011,m2,Australia,
321,Basic Materials,Insulation,Insulation,"Glasswool Blanket or Batt, Foil-Faced R2.0 (90mm)",Virgin,0.004,m2,United Kingdom,
322,Basic Materials,Insulation,Insulation,"Glasswool Blanket or Batt, Foil-Faced R2.0 (90mm)",65% Recycled Content,0.003,m2,United Kingdom,
323,Basic Materials,Insulation,Insulation,"Glasswool Blanket or Batt, Foil-Faced R2.0 (90mm)",Virgin,0.007,m2,Europe,
324,Basic Materials,Insulation,Insulation,"Glasswool Blanket or Batt, Foil-Faced R2.5 (100mm)",Virgin,0.012,m2,Australia,
325,Basic Materials,Insulation,Insulation,"Glasswool Blanket or Batt, Foil-Faced R2.5 (100mm)",Virgin,0.007,m2,Europe,
326,Basic Materials,Insulation,Insulation,"Glasswool Blanket or Batt, Foil-Faced R2.5 (100mm)",Virgin,0.004,m2,United Kingdom,
327,Basic Materials,Insulation,Insulation,"Glasswool Blanket or Batt, Foil-Faced R2.5 (100mm)",65% Recycled Content,0.01,m2,Australia,
328,Basic Materials,Insulation,Insulation,"Glasswool Blanket or Batt, Foil-Faced R2.5 (100mm)",65% Recycled Content,0.006,m2,Europe,
329,Basic Materials,Insulation,Insulation,"Glasswool Blanket or Batt, Foil-Faced R2.5 (100mm)",65% Recycled Content,0.003,m2,United Kingdom,
330,Basic Materials,Insulation,Insulation,"Glasswool Blanket or Batt, Foil-Faced R3.0 (130mm)",65% Recycled Content,0.012,m2,Australia,
331,Basic Materials,Insulation,Insulation,"Glasswool Blanket or Batt, Foil-Faced R3.0 (130mm)",65% Recycled Content,0.008,m2,Europe,
332,Basic Materials,Insulation,Insulation,"Glasswool Blanket or Batt, Foil-Faced R3.0 (130mm)",65% Recycled Content,0.004,m2,United Kingdom,
333,Basic Materials,Insulation,Insulation,"Glasswool Blanket or Batt, Foil-Faced R3.0 (130mm)",Virgin,0.015,m2,Australia,
334,Basic Materials,Insulation,Insulation,"Glasswool Blanket or Batt, Foil-Faced R3.0 (130mm)",Virgin,0.01,m2,Europe,
335,Basic Materials,Insulation,Insulation,"Glasswool Blanket or Batt, Foil-Faced R3.0 (130mm)",Virgin,0.005,m2,United Kingdom,
336,Basic Materials,Insulation,Insulation,"Glasswool Rigid Board, Foil-Faced 25mm",65% Recycled Content,0.007,m2,Australia,
337,Basic Materials,Insulation,Insulation,"Glasswool Rigid Board, Foil-Faced 25mm",Virgin,0.008,m2,Australia,
338,Basic Materials,Insulation,Insulation,"Glasswool Rigid Board, Foil-Faced 50mm",65% Recycled Content,0.012,m2,Australia,
339,Basic Materials,Insulation,Insulation,"Glasswool Rigid Board, Foil-Faced 50mm",Virgin,0.015,m2,Australia,
340,Basic Materials,Glass,Glass,Laminated glass generic (PA),8.4mm,0.05,m2,Europe,
341,Basic Materials,Glass,Glass,Laminated glass generic (PA),8.4mm,0.031,m2,United Kingdom,
342,Basic Materials,Glass,Glass,Laminated glass generic (PA),8.4mm,0.152,m2,China,
343,Basic Materials,Glass,Glass,Laminated glass generic (PA),10.4mm,0.076,m2,Australia,
344,Basic Materials,Glass,Glass,Laminated glass generic (PA),8.4mm,0.13,m2,India,
345,Basic Materials,Glass,Glass,Laminated glass generic (PA),10.4mm,0.042,m2,United Kingdom,
346,Basic Materials,Glass,Glass,Laminated glass generic (PA),10.4mm,0.174,m2,India,
347,Basic Materials,Glass,Glass,Laminated glass generic (PA),12.4mm,0.091,m2,Australia,
348,Basic Materials,Glass,Glass,Laminated glass generic (PA),12.4mm,0.047,m2,United Kingdom,
349,Basic Materials,Glass,Glass,Laminated glass generic (PA),6.4mm,0.047,m2,Australia,
350,Basic Materials,Glass,Glass,Laminated glass generic (PA),6.4mm,0.032,m2,Europe,
351,Basic Materials,Glass,Glass,Laminated glass generic (PA),6.4mm,0.024,m2,United Kingdom,
352,Basic Materials,Glass,Glass,Laminated glass generic (PA),6.4mm,0.097,m2,China,
353,Basic Materials,Glass,Glass,Laminated glass generic (PA),6.4mm,0.098,m2,India,
354,Basic Materials,Glass,Glass,Laminated glass generic (PA),8.4mm,0.061,m2,Australia,
355,Basic Materials,Metals,Steel,Mesh Reinforcement,RL108,0.025,m2,Australia,
356,Basic Materials,Metals,Steel,Mesh Reinforcement,RL108,0.01,m2,Europe,
357,Basic Materials,Metals,Steel,Mesh Reinforcement,RL108,0.02,m2,United Kingdom,
358,Basic Materials,Metals,Steel,Mesh Reinforcement,RL108,0.02,m2,United States or  Canada,
359,Basic Materials,Metals,Steel,Mesh Reinforcement,RL108 - Up to 65% Recycled Content,0.017,m2,Australia,
360,Basic Materials,Metals,Steel,Mesh Reinforcement,RL108 - Up to 65% Recycled Content,0.007,m2,Europe,
361,Basic Materials,Metals,Steel,Mesh Reinforcement,RL108 - Up to 65% Recycled Content,0.014,m2,United Kingdom,
362,Basic Materials,Metals,Steel,Mesh Reinforcement,RL108 - Up to 65% Recycled Content,0.014,m2,United States or  Canada,
363,Basic Materials,Metals,Steel,Mesh Reinforcement,SL102 - Up to 65% Recycled Content,0.01,m2,United States or  Canada,
364,Basic Materials,Metals,Steel,Mesh Reinforcement,Per Tonne,3.042,T,Australia,7850
365,Basic Materials,Metals,Steel,Mesh Reinforcement,Per Tonne,1.226,T,Europe,7850
366,Basic Materials,Metals,Steel,Mesh Reinforcement,Per Tonne,2.457,T,United Kingdom,7850
367,Basic Materials,Metals,Steel,Mesh Reinforcement,Per Tonne,2.408,T,United States or  Canada,7850
368,Basic Materials,Metals,Steel,Mesh Reinforcement,SL102,0.019,m2,Australia,
369,Basic Materials,Metals,Steel,Mesh Reinforcement,SL102,0.008,m2,Europe,
370,Basic Materials,Metals,Steel,Mesh Reinforcement,SL102,0.016,m2,United Kingdom,
371,Basic Materials,Metals,Steel,Mesh Reinforcement,SL102,0.015,m2,United States or  Canada,
372,Basic Materials,Metals,Steel,Mesh Reinforcement,SL102 - Up to 65% Recycled Content,0.013,m2,Australia,
373,Basic Materials,Metals,Steel,Mesh Reinforcement,SL102 - Up to 65% Recycled Content,0.005,m2,Europe,
374,Basic Materials,Metals,Steel,Mesh Reinforcement,SL102 - Up to 65% Recycled Content,0.011,m2,United Kingdom,
375,Basic Materials,Metals,Steel,Mild Steel,"Per tonne, 100% recycled",1.5,T,Australia,7850
376,Basic Materials,Metals,Steel,Mild Steel,"Per tonne, 100% recycled",0.5,T,Europe,7850
377,Basic Materials,Metals,Steel,Mild Steel,"Per tonne, 100% recycled",1,T,United Kingdom,7850
378,Basic Materials,Metals,Steel,Mild Steel,"Per tonne, 100% recycled",0.5,T,United States or  Canada,7850
379,Basic Materials,Metals,Steel,Mild Steel,"Per tonne, virgin",3,T,Australia,7850
380,Basic Materials,Metals,Steel,Mild Steel,"Per tonne, virgin",1,T,Europe,7850
381,Basic Materials,Metals,Steel,Mild Steel,"Per tonne, virgin",2,T,United Kingdom,7850
382,Basic Materials,Metals,Steel,Mild Steel,"Per tonne, virgin",1,T,United States or  Canada,7850
383,Basic Materials,Insulation,Insulation,Mineral Wool Blanket or Batt,100mm,0.026,m2,Australia,
384,Basic Materials,Insulation,Insulation,Mineral Wool Blanket or Batt,100mm,0.007,m2,Europe,
385,Basic Materials,Insulation,Insulation,Mineral Wool Blanket or Batt,100mm,0.008,m2,United Kingdom,
386,Basic Materials,Insulation,Insulation,Mineral Wool Blanket or Batt,135mm,0.036,m2,Australia,
387,Basic Materials,Insulation,Insulation,Mineral Wool Blanket or Batt,135mm,0.009,m2,Europe,
388,Basic Materials,Insulation,Insulation,Mineral Wool Blanket or Batt,135mm,0.011,m2,United Kingdom,
389,Basic Materials,Insulation,Insulation,Mineral Wool Blanket or Batt,150mm,0.054,m2,Australia,
390,Basic Materials,Insulation,Insulation,Mineral Wool Blanket or Batt,150mm,0.011,m2,Europe,
391,Basic Materials,Insulation,Insulation,Mineral Wool Blanket or Batt,150mm,0.017,m2,United Kingdom,
392,Basic Materials,Other,Other,Paper,Paper/ cellulose,1.884,m3,Australia,
393,Basic Materials,Other,Other,Paper,Paper/ cellulose,0.539,m3,Europe,
394,Basic Materials,Other,Other,Paper,Paper/ cellulose,5.88,m3,United Kingdom,
395,Basic Materials,Other,Other,Paper,Paper/ cellulose,1.57,T,Australia,300
396,Basic Materials,Other,Other,Paper,Paper/ cellulose,0.449,T,Europe,300
397,Basic Materials,Other,Other,Paper,Paper/ cellulose,4.9,T,United Kingdom,300
398,Basic Materials,Plastic,Plastic,Plastic,Polycarbonate,14,T,Australia,1220
399,Basic Materials,Plastic,Plastic,Plastic,Polycarbonate,3.427,T,Europe,1220
400,Basic Materials,Plastic,Plastic,Plastic,Polycarbonate,7.62,T,United Kingdom,1220
401,Basic Materials,Plastic,Plastic,Plastic,Polypropylene,7.4,T,Australia,1220
402,Basic Materials,Plastic,Plastic,Plastic,Polypropylene,2.027,T,Europe,1220
403,Basic Materials,Plastic,Plastic,Plastic,Polypropylene,4.52,T,United Kingdom,1220
404,Basic Materials,Plastic,Plastic,Plastic,Polyvinyl Chloride (PVC),11.2,T,Australia,1380
405,Basic Materials,Plastic,Plastic,Plastic,Polyvinyl Chloride (PVC),5.79,T,Europe,1380
406,Basic Materials,Plastic,Plastic,Plastic,Acrylonitrile butadiene styrene (ABS),16,T,Australia,1050
407,Basic Materials,Plastic,Plastic,Plastic,Acrylonitrile butadiene styrene (ABS),3.13,T,Europe,1050
408,Basic Materials,Plastic,Plastic,Plastic,Acrylonitrile butadiene styrene (ABS),3.79,T,United Kingdom,1050
409,Basic Materials,Plastic,Plastic,Plastic,Poly-ethyleneterephthalate (PET),6.4,T,Australia,1380
410,Basic Materials,Plastic,Plastic,Plastic,Poly-ethyleneterephthalate (PET),3.52,T,Europe,1380
411,Basic Materials,Plastic,Plastic,Plastic,Poly-ethyleneterephthalate (PET),2.57,T,United Kingdom,1380
412,Basic Materials,Plastic,Plastic,Plastic,Polyvinyl Chloride (PVC),3.13,T,United Kingdom,1380
413,Basic Materials,Plastic,Plastic,Plastic Foam,Polyurethane Rigid Foam,0.005,kg,Australia,961
414,Basic Materials,Plastic,Plastic,Plastic Foam,Polyurethane Flexible Foam,0.006,kg,Australia,961
415,Basic Materials,Formwork,Plastic,Plastic Spiral Column Formwork 3mm,Up to 60% Recycled Content,0.0122,m2,Australia,
416,Basic Materials,Formwork,Plastic,Plastic Spiral Column Formwork 3mm,Up to 60% Recycled Content,0.0033,m2,Europe,
417,Basic Materials,Formwork,Plastic,Plastic Spiral Column Formwork 3mm,Up to 60% Recycled Content,0.0075,m2,United Kingdom,
418,Basic Materials,Formwork,Plastic,Plastic Spiral Column Formwork 3mm,Virgin,0.02,m2,Australia,
419,Basic Materials,Formwork,Plastic,Plastic Spiral Column Formwork 3mm,Virgin,0.0055,m2,Europe,
420,Basic Materials,Formwork,Plastic,Plastic Spiral Column Formwork 3mm,Virgin,0.0123,m2,United Kingdom,
421,Basic Materials,Timber,Timber,Plywood Board,12mm,0.021,m2,Australia,
422,Basic Materials,Timber,Timber,Plywood Board,12mm,0.01,m2,Europe,
423,Basic Materials,Timber,Timber,Plywood Board,12mm,0.005,m2,United Kingdom,
424,Basic Materials,Timber,Timber,Plywood Board,12mm,0.003,m2,United States or  Canada,
425,Basic Materials,Timber,Timber,Plywood Board,18mm,0.032,m2,Australia,
426,Basic Materials,Timber,Timber,Plywood Board,18mm,0.014,m2,Europe,
427,Basic Materials,Timber,Timber,Plywood Board,18mm,0.008,m2,United Kingdom,
428,Basic Materials,Timber,Timber,Plywood Board,18mm,0.004,m2,United States or  Canada,
429,Basic Materials,Formwork,Timber,Plywood formwork including propping/ bracing,"18mm to Beam Edges up to 250mm deep, Class 2 (2 Uses)",0.02,Lm,Australia,
430,Basic Materials,Formwork,Timber,Plywood formwork including propping/ bracing,"18mm to Beam Edges up to 250mm deep, Class 2 (2 Uses)",0.01,Lm,Europe,
431,Basic Materials,Formwork,Timber,Plywood formwork including propping/ bracing,"18mm to Beam Edges up to 250mm deep, Class 2 (2 Uses)",0.007,Lm,United Kingdom,
432,Basic Materials,Formwork,Timber,Plywood formwork including propping/ bracing,"18mm to Beam Edges up to 250mm deep, Class 2 (2 Uses)",0.005,Lm,United States or  Canada,
433,Basic Materials,Formwork,Timber,Plywood formwork including propping/ bracing,"18mm to Columns, Class 2 (2 Uses)",0.029,m2,Australia,
434,Basic Materials,Formwork,Timber,Plywood formwork including propping/ bracing,"18mm to Columns, Class 2 (2 Uses)",0.013,m2,Europe,
435,Basic Materials,Formwork,Timber,Plywood formwork including propping/ bracing,"18mm to Soffits, Class 2 (2 Uses)",0.007,m2,United Kingdom,
436,Basic Materials,Formwork,Timber,Plywood formwork including propping/ bracing,"18mm to Soffits, Class 2 (2 Uses)",0.005,m2,United States or  Canada,
437,Basic Materials,Formwork,Timber,Plywood formwork including propping/ bracing,"18mm to Walls, Both Sides, Class 2 (2 Uses)",0.01,m2,United States or  Canada,
438,Basic Materials,Formwork,Timber,Plywood formwork including propping/ bracing,"24mm to Soffits, Class 2 (2 Uses)",0.036,m2,Australia,
439,Basic Materials,Formwork,Timber,Plywood formwork including propping/ bracing,"18mm to Columns, Class 2 (2 Uses)",0.013,m2,United Kingdom,
440,Basic Materials,Formwork,Timber,Plywood formwork including propping/ bracing,"18mm to Columns, Class 2 (2 Uses)",0.009,m2,United States or  Canada,
441,Basic Materials,Formwork,Timber,Plywood formwork including propping/ bracing,"18mm to Walls, Both Sides, Class 2 (2 Uses)",0.041,m2,Australia,
442,Basic Materials,Formwork,Timber,Plywood formwork including propping/ bracing,"18mm to Walls, Both Sides, Class 2 (2 Uses)",0.02,m2,Europe,
443,Basic Materials,Formwork,Timber,Plywood formwork including propping/ bracing,"18mm to Walls, Both Sides, Class 2 (2 Uses)",0.014,m2,United Kingdom,
444,Basic Materials,Formwork,Timber,Plywood formwork including propping/ bracing,"24mm to Soffits, Class 2 (2 Uses)",0.017,m2,Europe,
445,Basic Materials,Formwork,Timber,Plywood formwork including propping/ bracing,"24mm to Soffits, Class 2 (2 Uses)",0.011,m2,United Kingdom,
446,Basic Materials,Formwork,Timber,Plywood formwork including propping/ bracing,"24mm to Soffits, Class 2 (2 Uses)",0.007,m2,United States or  Canada,
447,Basic Materials,Formwork,Timber,Plywood formwork including propping/ bracing,"18mm to Soffits, Class 2 (2 Uses)",0.019,m2,Australia,
448,Basic Materials,Formwork,Timber,Plywood formwork including propping/ bracing,"18mm to Soffits, Class 2 (2 Uses)",0.009,m2,Europe,
449,Basic Materials,Insulation,Insulation,Polyester Blanket or Batt (PET) R2.0 (90mm),80% Recycled Content,0.0036,m2,Australia,
450,Basic Materials,Insulation,Insulation,Polyester Blanket or Batt (PET) R2.0 (90mm),80% Recycled Content,0.002,m2,United Kingdom,
451,Basic Materials,Insulation,Insulation,Polyester Blanket or Batt (PET) R2.0 (90mm),Virgin,0.006,m2,United Kingdom,
452,Basic Materials,Insulation,Insulation,Polyester Blanket or Batt (PET) R2.5 (100mm),80% Recycled Content,0.004,m2,Australia,
453,Basic Materials,Insulation,Insulation,Polyester Blanket or Batt (PET) R2.5 (100mm),80% Recycled Content,0.0026,m2,United Kingdom,
454,Basic Materials,Insulation,Insulation,Polyester Blanket or Batt (PET) R2.5 (100mm),Virgin,0.007,m2,United Kingdom,
455,Basic Materials,Insulation,Insulation,Polyester Blanket or Batt (PET) R3.0 (130mm),80% Recycled Content,0.005,m2,Australia,
456,Basic Materials,Insulation,Insulation,Polyester Blanket or Batt (PET) R3.0 (130mm),80% Recycled Content,0.0034,m2,United Kingdom,
457,Basic Materials,Insulation,Insulation,Polyester Blanket or Batt (PET) R3.0 (130mm),Virgin,0.009,m2,United Kingdom,
458,Basic Materials,Metals,Steel,Powdercoating,Steel Powdercoat,0.006,m2,Australia,
459,Basic Materials,Metals,Steel,Primary/Universal Steel Sections,"Cold Formed Studs and Track, CLF 2021 (A1-A3)",2.28,T,United States or  Canada,7850
460,Basic Materials,Metals,Steel,Primary/Universal Steel Sections,Generic,1.814,T,United Kingdom,7850
461,Basic Materials,Metals,Steel,Primary/Universal Steel Sections,Generic,1.357,T,United States or  Canada,7850
462,Basic Materials,Metals,Steel,Primary/Universal Steel Sections,Up to 20% recycled content,2.61,T,Australia,7850
463,Basic Materials,Metals,Steel,Primary/Universal Steel Sections,Carbon Neutral,0,T,Australia,7850
464,Basic Materials,Metals,Steel,Primary/Universal Steel Sections,Up to 20% recycled content,0.966,T,Europe,7850
465,Basic Materials,Metals,Steel,Primary/Universal Steel Sections,Up to 20% recycled content,1.63,T,United Kingdom,7850
466,Basic Materials,Metals,Steel,Primary/Universal Steel Sections,Up to 20% recycled content,1.22,T,United States or  Canada,7850
467,Basic Materials,Metals,Steel,Primary/Universal Steel Sections,Carbon Neutral,0,T,Europe,7850
468,Basic Materials,Metals,Steel,Primary/Universal Steel Sections,Galvanised Steel,3.3,T,Australia,7850
469,Basic Materials,Metals,Steel,Primary/Universal Steel Sections,Galvanised Steel,2.59,T,Europe,7850
470,Basic Materials,Metals,Steel,Primary/Universal Steel Sections,Structural Hollow Sections,1.659,T,United Kingdom,7850
471,Basic Materials,Metals,Steel,Primary/Universal Steel Sections,Structural Hollow Sections,2.557,T,United States or  Canada,7850
472,Basic Materials,Metals,Steel,Primary/Universal Steel Sections,Carbon Neutral,0,T,United Kingdom,7850
473,Basic Materials,Metals,Steel,Primary/Universal Steel Sections,Carbon Neutral,0,T,United States or  Canada,7850
474,Basic Materials,Metals,Steel,Primary/Universal Steel Sections,Structural Hollow Sections,4.6,T,Australia,7850
475,Basic Materials,Metals,Steel,Primary/Universal Steel Sections,Structural Hollow Sections,2.675,T,Europe,7850
476,Basic Materials,Metals,Steel,Primary/Universal Steel Sections,Generic,2.9,T,Australia,7850
477,Basic Materials,Metals,Steel,Primary/Universal Steel Sections,Generic,1.073,T,Europe,7850
478,Basic Materials,Metals,Steel,Primary/Universal Steel Sections,Galvanised Steel,3.485,T,United Kingdom,7850
479,Basic Materials,Metals,Steel,Primary/Universal Steel Sections,Galvanised Steel,1.702,T,United States or  Canada,7850
480,Basic Materials,Metals,Steel,Primary/Universal Steel Sections,Galvanised Steel With up to 20% recycled content,2.97,T,Australia,7850
481,Basic Materials,Metals,Steel,Primary/Universal Steel Sections,Galvanised Steel With up to 20% recycled content,2.331,T,Europe,7850
482,Basic Materials,Metals,Steel,Primary/Universal Steel Sections,Galvanised Steel With up to 20% recycled content,3.136,T,United Kingdom,7850
483,Basic Materials,Metals,Steel,Primary/Universal Steel Sections,Galvanised Steel With up to 20% recycled content,1.531,T,United States or  Canada,7850
484,Basic Materials,Metals,Steel,Primary/Universal Steel Sections,"Structural Hollow Sections, CLF 2021 (A1-A3)",2.39,T,United States or  Canada,7850
485,Basic Materials,Metals,Steel,Primary/Universal Steel Sections,"Structural Hot-Rolled Sections, CLF 2021 (A1-A3)",1.16,T,United States or  Canada,7850
486,Basic Materials,Formwork,Plastic,Reusable ABS Plastic Formwork,One Side,0.065,m2,Australia,
487,Basic Materials,Insulation,Insulation,Rigid Expanded Polystyrene (EPS) 100mm,Without Facing,0.007,m2,Europe,
